epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.183,1.48457,2.35297,1.31175,0.90546,0.28247,0.32195,0.19451,1.32115,1.14344,1.18789,0.00333006,0.00333006,0.00333006
2,198.901,1.39642,1.51853,1.20526,0.76837,0.32493,0.33081,0.1837,1.43232,1.09059,1.22596,0.00659742,0.00659742,0.00659742
3,319.444,1.42069,1.30762,1.21773,0.8457,0.23855,0.26784,0.14837,1.42423,1.27965,1.35507,0.00979879,0.00979879,0.00979879
4,468.851,1.4216,1.19475,1.23202,0.5999,0.36059,0.37566,0.21405,1.32919,0.96869,1.21552,0.009703,0.009703,0.009703
5,619.742,1.38878,1.10063,1.21862,0.72951,0.35675,0.41303,0.23587,1.29607,0.8917,1.18387,0.009604,0.009604,0.009604
6,770.477,1.36406,1.0383,1.20334,0.74207,0.37601,0.43539,0.24617,1.27558,0.84728,1.186,0.009505,0.009505,0.009505
7,920.664,1.34542,1.01139,1.19778,0.73994,0.38839,0.47823,0.27344,1.25405,0.81215,1.16526,0.009406,0.009406,0.009406
8,1071.19,1.33393,0.98752,1.19029,0.67533,0.43754,0.47453,0.27858,1.25835,0.79232,1.16715,0.009307,0.009307,0.009307
9,1221.57,1.31938,0.95585,1.18306,0.75998,0.41062,0.43271,0.25921,1.2456,0.79052,1.17272,0.009208,0.009208,0.009208
10,1372.34,1.30703,0.94757,1.17535,0.8117,0.45914,0.48283,0.28197,1.2368,0.7692,1.15105,0.009109,0.009109,0.009109
11,1523.13,1.30662,0.93106,1.1756,0.78153,0.43459,0.48229,0.28852,1.2263,0.76153,1.15503,0.00901,0.00901,0.00901
12,1673.68,1.29617,0.9166,1.17295,0.75023,0.45947,0.49368,0.29332,1.22149,0.73533,1.14984,0.008911,0.008911,0.008911
13,1824.78,1.29199,0.9051,1.16781,0.7666,0.49345,0.53035,0.32187,1.20685,0.71167,1.1406,0.008812,0.008812,0.008812
14,1976.35,1.28541,0.89784,1.1611,0.58158,0.49976,0.52382,0.30813,1.24489,0.7278,1.16172,0.008713,0.008713,0.008713
15,2126.65,1.27951,0.88381,1.15931,0.6457,0.49064,0.5209,0.31363,1.22009,0.70417,1.14766,0.008614,0.008614,0.008614
16,2277,1.28085,0.88128,1.15962,0.86503,0.46374,0.60108,0.35591,1.2126,0.69007,1.14808,0.008515,0.008515,0.008515
17,2426.93,1.26588,0.86826,1.15249,0.6309,0.50458,0.53598,0.32973,1.1977,0.68239,1.13666,0.008416,0.008416,0.008416
18,2577.73,1.26965,0.86468,1.15629,0.59498,0.5148,0.56604,0.33659,1.20914,0.68513,1.14396,0.008317,0.008317,0.008317
19,2728.71,1.26139,0.85588,1.14965,0.67242,0.51757,0.54359,0.32852,1.20041,0.67112,1.13484,0.008218,0.008218,0.008218
20,2879.97,1.26158,0.84673,1.14913,0.65856,0.50705,0.53708,0.32574,1.19487,0.67379,1.13241,0.008119,0.008119,0.008119
